Nome Elemento,Tipo IFC,GUID,ElementId
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1sjv,717489
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1sjw,717490
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1sjx,717491
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1sjy,717492
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1si9,717505
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1siA,717506
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1siB,717507
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1siC,717508
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1si5,717517
ST_FON_PAL_PaloCalcestruzzo - ST_FON_PAL_PaloCalcestruzzo_600mm,IfcPile,3gEquXBon3l8L1mGCO1si6,717518
